"id","transcription","language","original_split"
"lug_96123","Ekyuma ekyakolebwa Bamagulumeeru nga kiri mu makkati g'ennyanja era nga kizingiddwako akaguwa ak'ekikobe.","lug","train"
"lug_96152","Amaato abali gali ku mazzi amateefu ng'ebbali waliyo ng'ebbali waliyo ekisiko oba ebimera ebya langi eya kiragalalagala enyirira ng'era kiraga we biri wagimu.","lug","train"
"lug_96158","Ebintu eby'enjawulo ebiriibwa ziyite nga enva endiirwa, okuli ebikoola bya ssukuma wiiki, ennyaanya, aa obutungulu waliwo wano eno obujanjaalo bw'Abafalansa biri mu butimba obw'enjawulo era nga bitundibwa.","lug","train"
"lug_96135","Akatale k'ennyaanya, kkaloti, obuti bwe bakozesa okufumba, ensujju, ennaanansi, wootammeroni, amenvu, emicungwa n'ebirala. Kalimu omusajja ayambadde essaati eya kkala eya pinki n'omukazi atudde ayambadde ggomesi ya bbulu.","lug","train"
"lug_54316","Ekifaananyi kino kiraga empeke ez'enjawulo: mulimu empeke empeke enjeru, ne mubeeramu kkapiso, ne mubaamu empeke eza yero, ne mubaamu empeke enjeru, ne mubaamu n'empeke za bbulu, ne mubaamu ne kkapiso za ggule.","lug","train"
"lug_54323","Abaana bava ku mazzi, bana bawala bataano bawala, omulenzi omu. Abana beetisse amazzi, abasatu beetisse liitakkumi, omu yeetisse akadomola akatono. Ababiri bayimiridde wali emabbali, bayita mu kakubo katini nnyo.","lug","train"
"lug_54328","Enju bbiri ennetooloovu eziyitibwa obusiisira baaziseresa na ssubi. Eh oluggya lunene ddala era luliko ttaka lyereere tekuli busubi. Ebbali waliyo omuddo oguli mu kkala eya kiragala. Mu luggya waliwo n'omuti oguyitibwa akatoogo nga muwanvu ddala.","lug","train"
"lug_54379","Ekisolo ky'omu nsiko kinene kigalamidde wansi mu muddo mutoototo mu langi ya kiragala, kiyina n'essanga. Tukisomako, ensi yaffe ekifunamu ssente kubanga abantu bajja ne bakirambula.","lug","train"
"lug_54395","Empologoma bbiri nga ziri waggulu ku muti empologoma kisolo kya maanyi nnyo era kimanyikiddwa nga kabaka w'ensiko. Empologoma mu Buganda muziro era bagyeddira.","lug","train"
"lug_54360","Omwalo oguli okumpi n'olukalu ng'era waliwo ebizimbe nkuyanja. Ebizimbe bino era amayumba gano gali ku katunnumbatunnumba oba akasozisozi. Amazzi wano bavubirawo nnyo era walaga baliirawo n'obulamu abacaakaze. Akasozi kaliko omuddoddo ogwa kiragala era weeyagaza okubeera, walabika bulungi. Eggulu lya langi eya bbululu nga n'amazzi mateefu nnyo okukamala; abadigize banyumirwa obulamu.","lug","train"
"lug_54391","Ebisolo ebiyitibwa envubu nga biri mu nnyanja nga bingi era nga birabikako migongo na ffeesi zaabyo. Ebisolo bino bya mu nsiko naye nga bibeera ku lukalu ne mu mazzi. Envubu eba nsolo nnene ddala era nga kumpi eyagala kwenkana njovu.","lug","train"
"lug_75981","Emiti emingi ne n'ensozi ziri mu mazzi, waliwo ekikko ekiyiikamu amazzi agavu... agava mu nsozi, waliwo n'omuddo oba ekitoogo.","lug","train"
"lug_75972","Ensolo ez'omu nsiko zitambula ku ttale. Kirabika lino kkuumiro lya bisolo naye ebiseera birabika bya kyeya. Omuddo mukalu ddala n'obuti obusangibwa mu kkuumiro lino obusinga bukalu, wewaawo obulala bubisibisi.","lug","train"
"lug_75901","Omuvubuka aweese enkota z'amatooke ku ggaali. Ku ggaali kuno kuliko olugoye oluli mu langi enzirugavu era omuvubuka ono ayambadde akasaati aka kyenvu n'empale ennyimpi omuvubuka tayambadde ngatto. Omuvubuka amatooke ga yeetisse ku ggaali ayina w'agatwala era abantu bawoomerwa nnyo okulya emmere ey'amatooke. Amatooke bagafumbira mu ndagala oba ne mu sseppiki mu mazzi.","lug","train"
"lug_1656","Ezzike erirabika obulungi litudde ku muti waggulu era nga likutte ku katabi k'omuti akamu lyenyweze bulungi oboolyawo lireme kugwa wansi. Amazike gano ganyuma okulabwako era nga gatuleetedde ensimbi mpitirivu nnyo wano naddala mu byobulambuzi.","lug","train"
"lug_1655","Ndaba engabi oba obugabi naye nga bungiko. Buli mu kifo, buli mu kibangiriza kye mba ŋŋamba buli mu kibangiriza, bunoonya ekyokulya. Obumu obulaba nga bulya, obulala obulaba nga bulina kye butunuulidde oba kye bwekengedde.","lug","train"
"lug_1686","Omusalamala ng'ali mu kibira, omusalamala ono afukamidde ku miti gye yamaze dda okusala, ali ku lukoba apima era ng'ebbali mashini ye weeri, mu kibira muno mulimu emiti mingi egikyayimiridde kw'ossa n'omuddo ogwa kiragala.","lug","train"
"lug_1648","Abayizi nga bali mu kibiina kyabwe basoma. Abayizi bano bangi ddala era nga bali mu byambalo bya ssomero lyabwe omuli t-shirts enjeru eziriko obwa maroon ate nga omu ali mu ssweta ataddeko n'ekikoofiira ku mutwe abayizi abamu bawanise emikono gyabwe nga kirabika bagezaako kwanukula omusomesa by'abuuza era abayizi abamu balina ebitabo ku mmeeza zaabwe.","lug","train"
"lug_39021","Abaana abato babiri abayisiziŋŋanyiddwa emikono. Oluuyi luli eriyo abaami abayimiridde abayina bye banyumya. Abaana bano balaga nti bazina.","lug","train"
"lug_39033","Obunyonyi bubiri obulabika obulungi obulimu langi ez'enjawulo omuli langi eya bbulu ne langi eya ppapo buyimiridde ku kati akatono. Akati kano kampi nnyo kali wakati mu muddo akati kano kayina obukoola butono bwa langi ya kiragala omuddo ogwetooloddewo ogusinga gwa langi ya kitaka gugenda gukala mulimu mutono nnyo mu muddo oguli mu langi eya kiragala.","lug","train"
"lug_39072","Ennyumba ezimbiddwa obulungi ey'essubi n'eyooyootebwa, yasiigibwa ne langi eya kiragala. Erina n'empagi bbiri mu maaso. Eriko n'eddirisa mu mbiriizi. Yeetooloddwa emiti egirabika obulungi. Eyina n'oluggya olusaayiddwa obulungi ddala nga mulimu n'obumuli obusanyusa.","lug","train"
"lug_39086","Ndabawo wano abasajja wano abazannya omupiira gwa Amerika. Hee, nga balabikira ddala bali mu lutalo. Ababiri bagudde wansi bagulwanira, omu agukutte y'akutamyemu kati banne bamuguddeko ku mugongo. Waliwo n'Omuddugavu n'Omuzungu n'Abazungu abalala bajja, nga beetegese okulaba nti singa agusuula bagutwala.","lug","train"
"lug_39016","Enjuki egudde ku kimuli ekirabika obulungi ennyo nga kirina langi bbiri: enjeru n'eya kiragala. Enjuki bw'egwa ku kimuli enuunamu amazzi g'ekisangamu era g'ezzaayo mu muzinga gwayo ne gagiyamba okukola omubisi gwayo.","lug","train"
"lug_10916","Omwami ono atu ali mu kufuuyira ekirime ekika ekimu a aweese ebbomba ey'ekipimo ekigere n'abeera ng'atambula mu nnimiro ye ali mu kufuuyira ekirime kye kino naye ky'afuuyira oba ddagala lya kika ki kya njawulo naye nga omulimu gwa kufuuyira ng'ate ali ku mbeera nti ali kkayiringito aserengeta.","lug","train"
"lug_10924","Ekibuga kirimu amayumba mangi aga kkalina awamu n'ago aga bulijjo enguudo ez'enjawulo ezitambulirwamu ebidduka eby'enjawulo ng'emmotoka ppikippiki n'obugaali n'abantu abali ku bigere emiti egyesudde mu mayumba nga giyina ebikoola bya kiragala.","lug","train"
"lug_65887","Obumuli obunyirivu bwe buli wansi ddala n'enjuki gy'olengera ng'ebugendako kwe kunyirira kw'obulabako mu langi eza kakobe ate nga mulimu n'eza kiragala kw'ossa n'eza kitaka eziraga obusubi obukaze.","lug","train"
"lug_65863","Enjuki bwe zibeera nnyingi nga zikuŋŋaanye gye zisula mu muzinga, kye tuli okulaba wano eno, ng'enjuki zikuŋŋaanye mu muzinga we zisula nga ziri ggezaako kola eby'okulya byazo bye tumanyi ng'omubisi.","lug","train"
"lug_65894","Ebimuli bya bika bingi waliwo ebimuli ebya langi ez'enjawulo era nga bikula mu bifo eby'enjawulo naye bw'otunuulira ekifo kino kya langi ya kakobe mbutuufu kifaananye bulungi so ng'ate bw'otunula olabayo kko ku bimuli ebirina langi enjeru kati nno byasikirizza dda enjuki okubeera ng'ejja okubikyalira.","lug","train"
"lug_65833","Amaato ag'enjawulo nga matonotono mu sayizi gali ku lubalama lw'ennyanja era ng'emabbali waliwo abaami okuli ababiri abakutte mu bi mu biwato, ate omulala akutte mu mpale y'ensawo y'empale ate n'omulala asitamye waliwo n'eryato eddala eriri mu mazzi ne mu mazzi mulimu omuddo ogwa langi eya kiragala.","lug","train"
"lug_11888","Ekifaananyi kino kiraga omwami ng'ali n'omwana, oboolyawo taata n'omwana nga bali ku lubalama lw'ennyanja era nga balabika bali mu kuvuba byennyanja.","lug","train"
"lug_11846","Abasajja nga basatu nga basitudde ebidomola, bali mu kubizzaayo ewaka, baakava ku mazzi, bamaze okugakima ku luzzi era bali mu kuddayo waka. Batambula bwe banyumyamukko, bwe boogera ku bigenda mu maaso mu bulamu bwabwe.","lug","train"
"lug_11896","Akatale kalimu manvuuli eza laa eza langi ez'enjawulo nga eya kyenvu, emmyufu, eza kiragala  n'obuyumba obuzimbiddwa ku mabbali g'akatale.","lug","train"
"lug_11852","Enjovu, enjovu nsolo nnene era enjovu zino ziri mu muddo ogukaze, waliwo emiti wabbali, enjovu zikuumibwa mu bifo ebiterekebwamu  ensolo ez'obulambuzi, abalambuzi bava mu nsi ez'enjawulo okujja okulaba enjovu mu nsi eya Uganda.","lug","train"
"lug_11841","Ebinyonyi bino bye bayita kalooli bibeera n'otutwe nga tutonotono ate ng'omumwa munene okusinga omutwe. Ate bibeera ne kkala enjeruyeru wano wansi nga ku kifuba kyabyo, n'ebyoya ebiddugaalirivu ku mukira emabega ne ku biwaawaatiro. Ebinyonyi bino bibeera n'ebisakkiro ekinenenene kw'ossa bibeera nabyo biri wansi mu kibira nga byetegeka okunoonya emmere.","lug","train"
"lug_11860","Enjuki zirabibwa nga ziri mu kibinja. Enjuki zino zitera kubeera mu kintu ekiyitibwa omuzinga. Awo nno ziba zikolerawo omubisi gw'enjuki era gwa mu mugaso nnyo; guwonya ekifuba, guwonya amabwa era bagukozesa mu bintu eby'enjawulo.","lug","train"
"lug_11893","Kabangali ya poliisi eya bbululu eyimiridde nga kuliko abasirikale abawerako abatudde. Wansi ebbali eriyo abasirikale abalala babiri abayimiridde; omusirikale omu yeekutte ku mmotoka eno ate ng'omulala agiri wano emabega ng'alina n'emmundu mu kifuba n'akakoofiira.","lug","train"
"lug_24723","Zino nsiisira ziri ssatu waliwo oluggya olugazi obulungi olulabika obulungi.","lug","train"
"lug_24702","Abaana ab'obuwala n'ab'obulenzi. Abalenzi bambadde embira mu bulago nga beesibye n'obuliba era nga abatadde ebyefaanaanyiriza enkata ku mutwe nga babiibya amazina ag'ekinnansi.","lug","train"
"lug_24706","Wano ekifaananyi kiraga abantu nga bakola ebiwempe mu bitoogo era emabbali waabwe nga waliwo emmotoka eyimiridde, ng'era waliwo n'ebitooke n'emiti gya kalitunsi.","lug","train"
"lug_24734","Ekinyonyi kissekannolya kiyina langi enzirugavu n'enjeru kiyimiridde mu bitoogo ebiriko obumuli obwa kyenvu biri kumpi n'amazzi.","lug","train"
"lug_24726","Ekyennyanja ekyasamye kikwatiddwa mu ngalo, kiri mu langi ezanja... ez'enjawulo, kiyina olumyukirivu, kiddugavu ku kyenkira, kyasamye, wabula kirina ekitundu ekya kyenvu n'ekitundu eky'obukuubo obweru; akikutte alaga nti aliraanye amazzi.","lug","train"
"lug_24745","Ente eziwererako ddala ziri mu langi ez'enjawulo kitaka ow'amazzi ne kitaka omukwafu n'enzirugavu ente zino mulimu ez'amayembe amawanvu n'amampi mulimu obuyana, enkazi n'ensajja.","lug","train"
"lug_24799","Omusajja ayimiridde ku mabbali g'omugga agenda kuvuba nga yeeyambisa ddobo. Omugga mugazi ate nga guyina amazzi agatukula. Ku ludda olulala olw'omugga waliwo omuddo ogulina ebikoola ebya kiragala. Waggulu w'omugga waliwo ebire ebisinga ku byo nga bya bbululu mu langi.","lug","train"
"lug_58538","Nnengera ekinyonyi ekiyitibwa ennyange nga kibuuse mu bbanga ebiwawaatiro byakyo birabikira ddala bulungi nga kirabika kiyigga kyakulya akamwa kaakyo aka kyenvu  kw'ossa amagulu amaddugavu birabikira ddala bulungi.","lug","train"
